device_id,f_steps_avg_length_active_bout_minutes_mo_wkdy_half_sem_2017-01-18,f_steps_avg_length_active_bout_minutes_mo_wkdy_half_sem_2017-03-01,f_steps_avg_length_sedentary_bout_minutes_mo_wkdy_half_sem_2017-01-18,f_steps_avg_length_sedentary_bout_minutes_mo_wkdy_half_sem_2017-03-01,f_steps_avg_step_active_bout_mo_wkdy_half_sem_2017-01-18,f_steps_avg_step_active_bout_mo_wkdy_half_sem_2017-03-01,f_steps_max_length_active_bout_minutes_mo_wkdy_half_sem_2017-01-18,f_steps_max_length_active_bout_minutes_mo_wkdy_half_sem_2017-03-01,f_steps_max_length_sedentary_bout_minutes_mo_wkdy_half_sem_2017-01-18,f_steps_max_length_sedentary_bout_minutes_mo_wkdy_half_sem_2017-03-01,f_steps_max_step_active_bout_mo_wkdy_half_sem_2017-01-18,f_steps_max_step_active_bout_mo_wkdy_half_sem_2017-03-01,f_steps_max_steps_mo_wkdy_half_sem_2017-01-18,f_steps_max_steps_mo_wkdy_half_sem_2017-03-01,f_steps_min_length_active_bout_minutes_mo_wkdy_half_sem_2017-01-18,f_steps_min_length_active_bout_minutes_mo_wkdy_half_sem_2017-03-01,f_steps_min_length_sedentary_bout_minutes_mo_wkdy_half_sem_2017-01-18,f_steps_min_length_sedentary_bout_minutes_mo_wkdy_half_sem_2017-03-01,f_steps_min_step_active_bout_mo_wkdy_half_sem_2017-01-18,f_steps_min_step_active_bout_mo_wkdy_half_sem_2017-03-01,f_steps_num_active_bout_mo_wkdy_half_sem_2017-01-18,f_steps_num_active_bout_mo_wkdy_half_sem_2017-03-01,f_steps_num_samples_steps_mo_wkdy_half_sem_2017-01-18,f_steps_num_samples_steps_mo_wkdy_half_sem_2017-03-01,f_steps_num_sedentary_bout_mo_wkdy_half_sem_2017-01-18,f_steps_num_sedentary_bout_mo_wkdy_half_sem_2017-03-01,f_steps_sum_steps_mo_wkdy_half_sem_2017-01-18,f_steps_sum_steps_mo_wkdy_half_sem_2017-03-01
3ff2b7eb-622c-4ae9-9d89-7d2af5430d34,15,15.0,43,44.0,409,405.0,80,125.0,185,490.0,2657,3517.0,572,600.0,5,5.0,5,5.0,10,10.0,185,268.0,2190,3212.0,186,268.0,76550,109801.0
417abe6d-ef78-4f01-b632-844af6cb8fe7,16,13.0,58,76.0,671,455.0,55,80.0,245,800.0,3587,4552.0,593,611.0,5,5.0,5,5.0,10,10.0,145,101.0,2190,1825.0,146,102.0,97987,46527.0
447a64e5-f754-4082-b0fa-0000f34eeda8,15,16.0,63,59.0,382,377.0,60,115.0,255,320.0,2001,2985.0,561,585.0,5,5.0,5,5.0,10,10.0,139,216.0,2190,3285.0,139,216.0,53736,82656.0
44ff689e-4138-43cc-8f6d-2d8323125ee1,18,18.0,54,66.0,511,551.0,80,80.0,520,950.0,2599,3128.0,623,601.0,5,5.0,5,5.0,10,10.0,149,110.0,2190,1898.0,149,111.0,76660,61064.0
4522b36a-6215-4768-b42a-55e79677d4ec,16,17.0,51,49.0,624,718.0,90,165.0,415,545.0,3150,12107.0,643,640.0,5,5.0,5,5.0,10,10.0,160,229.0,2190,3066.0,161,230.0,100476,165278.0
4d4c47ec-5a3c-4c9c-b32b-83da30500857,17,14.0,80,112.0,510,355.0,85,75.0,500,800.0,3519,2188.0,555,559.0,5,5.0,5,5.0,10,10.0,112,117.0,2190,2993.0,112,118.0,57689,42110.0
4de0beb1-cfa8-4410-809d-d05322b1a0c8,27,22.0,31,42.0,683,589.0,145,140.0,250,835.0,3667,3435.0,592,591.0,5,5.0,5,5.0,10,10.0,187,253.0,2190,3285.0,187,253.0,128541,150043.0
4e20289a-32ca-47be-a2c5-f0bd66ab9176,14,10.0,66,93.0,447,187.0,90,30.0,720,775.0,3331,1572.0,618,585.0,5,5.0,5,5.0,10,10.0,135,73.0,2190,1533.0,136,74.0,61131,14074.0
5542666d-5bf4-4a1b-b17c-e3580c4cd773,12,15.0,83,79.0,492,450.0,35,140.0,360,605.0,2222,10110.0,649,732.0,5,5.0,5,5.0,10,10.0,113,174.0,2190,3285.0,114,174.0,56365,79301.0
5a5e44dd-1b8f-4c26-ba16-65593a8b59eb,13,13.0,42,42.0,500,452.0,60,75.0,155,195.0,2872,2735.0,687,686.0,5,5.0,5,5.0,10,10.0,196,290.0,2190,3285.0,196,291.0,98726,132318.0
