device_id,f_batt_num_rows_battery_ni_sem_2017-01-18,f_batt_length_of_charge_minutes_ni_sem_2017-01-18
9d37754d-fb9f-46cf-a2a8-1232f3ad1071,11.0,21131.7
9e7d28be-3a29-406b-b3e3-d2fd2414605c,36.0,33999.5
a2952ecb-5ee6-454a-81a6-16e908ee2e18,46.0,16273.4
a36f9b21-57f2-46ef-bb33-a65e0c2b642c,18.0,1634.96
a3aa60d3-8acb-4e7b-b324-ac85c6c074d2,535.0,60802.7
a5ea9d2e-766c-4a6b-87b2-8bc4fe445a63,54.0,34388.1
a8ba94f4-d3e6-452c-adf8-4d1e0984a6d1,38.0,11617.9
a9836b94-4e9e-498f-aa65-0cd76d330641,38.0,64608.5
ad5083ca-82c9-435b-9776-03837a5aed8c,14.0,5349.34
ad6f1e0f-32ef-4b74-9c04-876609ba1e55,7.0,17067.9
afeb5dcc-28b1-4088-9942-3e24bc05508d,14.0,12476.6
b1ea5753-4aac-464c-996b-52c418e5782c,22.0,-99123700.0
b24dc8d4-e952-4d4a-bbd8-0841ea7d87ee,31.0,8498.14
b36df7c0-cf05-42de-9ed6-704c2f02e3da,50.0,17841.5
b771f307-fb8e-49e2-a533-2b4145073203,38.0,10117.8
b8484a00-842a-4aa3-a008-07dc9580bb3a,65.0,42152.2
b9c40632-ca4b-4b45-8f61-99e146c671b6,145.0,30882.7
bb3effb0-4439-4ace-b82e-0c779734431a,23.0,12484.7
bedd078a-f665-46f2-bdc5-ab3535a4708e,24.0,28193.8
c180cf15-e68a-4136-9b03-c33220dc5738,49.0,13333.6
c24ab734-cf32-40d2-a0d5-25c363984387,47.0,21709.4
c7650b38-6fb9-4305-bf13-d4f8a40b4dbe,23.0,11811.0
cb952516-48ff-4504-a9e6-080161ee7f8d,140.0,17836.0
ccb6e01b-3dc3-4f63-b1dc-f028fce9463f,86.0,34312.3
cd031b30-d6b4-479f-877f-7a8467135ea4,81.0,3002.15
cd20f78a-3ab7-4bb5-b400-e4af17ddef1f,50.0,18773.8
cf5aaf0c-8b7b-4781-9109-cd32e2b8588e,27.0,-24727900.0
d0a1ab1f-7d61-4071-a0e5-21d31dcbf7d4,56.0,32683.9
d1ac58f8-4334-4249-ad23-1746fed138b1,64.0,22121.0
d1ff441d-a66a-45ab-b1b2-372042b29762,41.0,37352.2
d26777b1-b3b5-4e7c-adf8-5a8264e2ddc6,51.0,42171.5
d5aac654-91bb-4ae4-b8cf-5704421fd07e,53.0,38421.4
d87719f9-6868-47bb-91d5-02acf9190f94,4.0,1430.11
db4bc043-4f67-418c-bd8a-e15543032389,98.0,-24746800.0
dba4459b-ef47-43cc-b721-364c0406f355,36.0,47974.8
dec05b58-d6d4-4478-b730-3fd040c4e52d,40.0,26721.2
dfa65587-95f0-4384-9d81-64a15e78bf16,69.0,33965.3
e1f9e6dd-d065-4590-b3da-8074a91dce27,73.0,38132.6
e261bc00-2e1f-4c98-8511-deedb1d77739,93.0,39020.2
e288098a-788a-4d3b-8fa2-0cf863eebf75,40.0,22863.7
e322dd4d-798b-4536-af6f-fe3404a15fce,91.0,26310.0
e5847047-48e7-4aec-9ab2-e03a432ad442,19.0,18863.1
e6ad33da-3083-4dad-85a6-b06dd345975b,150.0,34297.2
e9d0cdd9-b664-453d-9bcf-c5f560519dc9,3.0,3659.59
eb8051d8-bc9c-47f9-b663-89583b35f37b,10.0,11426.8
ec54b478-47e0-444d-90a1-bfb45b416bee,14.0,62174.8
ee099a8f-8baf-408e-bf0f-3cf1a3d51790,71.0,40340.4
ee6eb822-8fdb-4821-b759-5dedcfadd2f2,78.0,6957.38
f2eb226f-61b4-44b9-8e1d-4f6de1438a29,23.0,-49533200.0
f4f84e15-621a-4900-96f1-a8d058066570,9.0,654.385
f5de7b18-5058-41c2-b957-da926c7dcba9,532.0,40476.5
f7ea4330-8f1c-4042-b5ea-13726c70efb1,10.0,9153.2
f92b4712-d45b-4aa6-bacc-fee783b55290,24.0,9642.73
fc56152c-3430-4952-88cc-f52240fa3092,157.0,17465.9
fd5999a3-6d93-4479-8a7a-91fb7f8f0270,108.0,30468.5
fe880b1f-df9c-476f-a7b3-ac363000fee7,197.0,35688.6
fe94368f-79f1-48b2-a40e-234130e09164,5.0,493.03
