device_id,BREAKPOINT_f_call_duration_incoming_calls_seconds_af_wkdy_week,BREAKPOINT_f_call_duration_outgoing_calls_seconds_af_wkdy_week,BREAKPOINT_f_call_number_incoming_calls_af_wkdy_week,BREAKPOINT_f_call_number_missed_calls_af_wkdy_week,BREAKPOINT_f_call_number_of_correspondents_phone_af_wkdy_week,BREAKPOINT_f_call_number_outgoing_calls_af_wkdy_week,BREAKPOINT_f_call_number_rows_calls_af_wkdy_week,SLOPE_AFTER_BPT_f_call_duration_incoming_calls_seconds_af_wkdy_week,SLOPE_AFTER_BPT_f_call_duration_outgoing_calls_seconds_af_wkdy_week,SLOPE_AFTER_BPT_f_call_number_incoming_calls_af_wkdy_week,SLOPE_AFTER_BPT_f_call_number_missed_calls_af_wkdy_week,SLOPE_AFTER_BPT_f_call_number_of_correspondents_phone_af_wkdy_week,SLOPE_AFTER_BPT_f_call_number_outgoing_calls_af_wkdy_week,SLOPE_AFTER_BPT_f_call_number_rows_calls_af_wkdy_week,SLOPE_ALL_duration_incoming_calls_seconds_f_call_af_wkdy_week,SLOPE_ALL_duration_outgoing_calls_seconds_f_call_af_wkdy_week,SLOPE_ALL_number_incoming_calls_f_call_af_wkdy_week,SLOPE_ALL_number_missed_calls_f_call_af_wkdy_week,SLOPE_ALL_number_of_correspondents_phone_f_call_af_wkdy_week,SLOPE_ALL_number_outgoing_calls_f_call_af_wkdy_week,SLOPE_ALL_number_rows_calls_f_call_af_wkdy_week,SLOPE_BEFORE_BPT_f_call_duration_incoming_calls_seconds_af_wkdy_week,SLOPE_BEFORE_BPT_f_call_duration_outgoing_calls_seconds_af_wkdy_week,SLOPE_BEFORE_BPT_f_call_number_incoming_calls_af_wkdy_week,SLOPE_BEFORE_BPT_f_call_number_missed_calls_af_wkdy_week,SLOPE_BEFORE_BPT_f_call_number_of_correspondents_phone_af_wkdy_week,SLOPE_BEFORE_BPT_f_call_number_outgoing_calls_af_wkdy_week,SLOPE_BEFORE_BPT_f_call_number_rows_calls_af_wkdy_week,SLOPE_FIRST_f_call_duration_incoming_calls_seconds_af_wkdy_week,SLOPE_FIRST_f_call_duration_outgoing_calls_seconds_af_wkdy_week,SLOPE_FIRST_f_call_number_incoming_calls_af_wkdy_week,SLOPE_FIRST_f_call_number_missed_calls_af_wkdy_week,SLOPE_FIRST_f_call_number_of_correspondents_phone_af_wkdy_week,SLOPE_FIRST_f_call_number_outgoing_calls_af_wkdy_week,SLOPE_FIRST_f_call_number_rows_calls_af_wkdy_week,SLOPE_SECOND_f_call_duration_incoming_calls_seconds_af_wkdy_week,SLOPE_SECOND_f_call_duration_outgoing_calls_seconds_af_wkdy_week,SLOPE_SECOND_f_call_number_incoming_calls_af_wkdy_week,SLOPE_SECOND_f_call_number_missed_calls_af_wkdy_week,SLOPE_SECOND_f_call_number_of_correspondents_phone_af_wkdy_week,SLOPE_SECOND_f_call_number_outgoing_calls_af_wkdy_week,SLOPE_SECOND_f_call_number_rows_calls_af_wkdy_week
0d25f3b7-d43e-4ccf-a8ed-e1feb0aa40aa,,2017-04-19,2017-02-22,2017-04-12,2017-03-29,2017-04-19,2017-04-12,,17.0,0.0237327,0.428571,0.2,0.714286,0.928571,0.0,0.602804,0.0108716,0.0460614,0.0569331,0.0403395,0.146958,,0.254167,-0.142857,0.0194116,0.00510204,0.0291667,0.0673339,0.0,1.78571,-0.142857,0.142857,0.0,0.0714286,0.0,0.0,1.21429,0.0119048,0.10034,0.112245,0.0510204,0.27551
0d8b3688-0cba-4323-85fe-00f15785de38,,2017-04-19,2017-03-01,2017-03-15,2017-04-19,2017-04-19,2017-04-19,,4.71429,0.0281155,-0.0735608,0.285714,0.285714,0.857143,0.0,0.235641,-0.000736377,0.0154639,0.0147275,0.011782,0.0544919,,0.129486,-0.0494506,0.0232399,0.0140746,-0.00140746,0.0415201,0.0,0.0274725,-0.0494506,0.032967,-0.0164835,-0.00549451,-0.0164835,0.0,0.257979,0.0281155,-0.0170973,0.0110182,0.025076,0.0554711
165de20b-6080-4f1d-9354-ec66de50263c,,2017-04-12,2017-03-15,2017-03-01,2017-03-08,2017-03-08,2017-03-08,,6.64286,0.0357143,0.166667,0.181973,0.102041,0.413265,0.0,-0.125375,-0.0554446,0.0804196,0.0254745,-0.0234765,0.0164835,,-0.902381,-0.171429,-0.214286,-0.4,-0.271429,-1.0,0.0,-0.785714,-0.0714286,-0.214286,-0.285714,-0.0714286,-0.571429,0.0,1.0381,0.00238095,0.166667,0.166667,0.0857143,0.37619
174bcad9-6cf8-4f97-bcc5-38a6f4c42c1d,,2017-02-08,2017-03-22,2017-04-12,2017-04-19,2017-04-12,2017-03-22,,0.195811,0.0816327,-0.0714286,-0.428571,0.214286,0.285714,0.0,-0.0900925,0.0292508,0.0224948,0.0517456,0.0131723,0.108813,,-0.571429,0.0238095,0.0325263,0.054677,0.00785437,0.052381,0.0,-0.3861,0.0559846,-0.003861,0.0521236,0.0019305,0.108108,0.0,0.292857,0.0238095,0.0333333,0.0571429,0.00714286,0.133333
17c8318d-0d75-41a8-bfef-eb8c043db1fb,,2017-03-29,2017-04-12,2017-03-08,2017-03-29,2017-01-25,2017-03-29,,-1.34286,-0.285714,0.0136054,-0.285714,-0.0229199,-0.657143,0.0,0.151531,0.000510204,-0.00561224,-0.00612245,-0.0178571,-0.0255102,,0.495238,0.01998,-0.0255102,-0.0164502,,-0.0372294,0.0,1.01633,-0.0530612,0.0408163,0.00816326,0.0285714,0.077551,0.0,0.321429,-0.0357143,0.0333333,-0.00238095,0.0119048,-0.00238095
1973b69d-5fe7-4ff7-94bb-17d5d875499f,,2017-03-01,2017-02-01,2017-03-08,2017-03-01,2017-02-15,2017-03-01,,-0.478654,-0.0199336,-0.0218729,-0.0537767,-0.0332512,-0.126847,0.0,-0.0861759,-0.0106438,0.000384714,-0.010259,-0.0109002,-0.0310336,,0.357143,,0.0204082,0.0142857,0.142857,0.0857143,0.0,0.357143,0.0142857,0.0,0.0142857,0.0571429,0.0857143,0.0,-0.478654,-0.0316092,-0.0221675,-0.0537767,-0.044335,-0.126847
1a4011ac-0990-4560-8e1a-f9f07b54b7ec,,2017-04-05,2017-03-22,2017-04-12,2017-03-15,2017-03-15,2017-03-15,,-1.35714,-0.0714286,0.142857,-0.0571429,-0.0367347,-0.163265,0.0,-0.000524567,0.00830565,-0.00568281,0.00262284,-0.000524567,0.00716909,,0.0777311,0.0444293,-0.0144265,0.0250627,-0.0075188,0.0213033,0.0,0.673469,0.0,0.0204082,0.0204082,0.0102041,0.0408163,0.0,-0.0323129,-0.0340136,0.00510204,-0.0289116,-0.00510204,-0.0510204
1be1f081-12eb-4151-bee7-04f39b0ada17,2017-03-29,2017-01-25,2017-03-29,2017-01-25,2017-03-29,2017-03-08,2017-03-08,-27.9,-9.44929,-0.128571,-0.0200942,-0.185714,-0.130952,-0.248299,-0.259694,-5.91939,-0.00357143,-0.00816326,-0.00153061,0.0142857,0.00255102,4.28831,,0.0207792,,0.047619,0.0255102,-0.0153061,-11.6857,-11.9061,-0.0693878,0.0163265,0.0,0.0244898,-0.0285714,-15.6071,-9.18333,-0.05,-0.0214286,-0.0714286,-0.0761905,-0.147619
1c67b4f0-964c-4aef-83a1-89a0248f80b3,,2017-03-22,2017-04-12,2017-04-19,2017-04-19,2017-04-12,2017-04-19,,0.355102,0.0714286,0.857143,0.857143,0.428571,2.14286,0.0,-0.0614071,-0.023064,0.0495556,0.0264916,0.0155115,0.0720967,,-0.283702,-0.0348177,0.0298507,-0.00426439,-0.0112074,-0.021322,0.0,-0.458647,-0.0225564,-0.0037594,-0.0263158,-0.0300752,-0.0789474,0.0,0.138095,-0.0238095,0.0833333,0.0595238,0.0547619,0.17619
1e3ed4f9-8c22-4b96-8a5c-c324582b9860,,2017-04-12,2017-04-12,2017-04-12,2017-04-12,2017-04-12,2017-04-12,,20.8571,1.14286,1.42857,2.57143,1.85714,6.85714,0.0,0.934891,0.0402145,0.0647262,0.104941,0.07545,0.284182,,0.660714,0.00744048,0.0446429,0.0520833,0.0342262,0.154762,0.0,-1.51429,0.0428571,-0.128571,-0.0857143,-0.1,-0.2,0.0,1.43201,0.0567986,0.120482,0.177281,0.115318,0.442341
