device_id,f_steps_avg_length_active_bout_minutes_af_wkend_half_sem_2017-01-18,f_steps_avg_length_active_bout_minutes_af_wkend_half_sem_2017-03-01,f_steps_avg_length_sedentary_bout_minutes_af_wkend_half_sem_2017-01-18,f_steps_avg_length_sedentary_bout_minutes_af_wkend_half_sem_2017-03-01,f_steps_avg_step_active_bout_af_wkend_half_sem_2017-01-18,f_steps_avg_step_active_bout_af_wkend_half_sem_2017-03-01,f_steps_max_length_active_bout_minutes_af_wkend_half_sem_2017-01-18,f_steps_max_length_active_bout_minutes_af_wkend_half_sem_2017-03-01,f_steps_max_length_sedentary_bout_minutes_af_wkend_half_sem_2017-01-18,f_steps_max_length_sedentary_bout_minutes_af_wkend_half_sem_2017-03-01,f_steps_max_step_active_bout_af_wkend_half_sem_2017-01-18,f_steps_max_step_active_bout_af_wkend_half_sem_2017-03-01,f_steps_max_steps_af_wkend_half_sem_2017-01-18,f_steps_max_steps_af_wkend_half_sem_2017-03-01,f_steps_min_length_active_bout_minutes_af_wkend_half_sem_2017-01-18,f_steps_min_length_active_bout_minutes_af_wkend_half_sem_2017-03-01,f_steps_min_length_sedentary_bout_minutes_af_wkend_half_sem_2017-01-18,f_steps_min_length_sedentary_bout_minutes_af_wkend_half_sem_2017-03-01,f_steps_min_step_active_bout_af_wkend_half_sem_2017-01-18,f_steps_min_step_active_bout_af_wkend_half_sem_2017-03-01,f_steps_num_active_bout_af_wkend_half_sem_2017-01-18,f_steps_num_active_bout_af_wkend_half_sem_2017-03-01,f_steps_num_samples_steps_af_wkend_half_sem_2017-01-18,f_steps_num_samples_steps_af_wkend_half_sem_2017-03-01,f_steps_num_sedentary_bout_af_wkend_half_sem_2017-01-18,f_steps_num_sedentary_bout_af_wkend_half_sem_2017-03-01,f_steps_sum_steps_af_wkend_half_sem_2017-01-18,f_steps_sum_steps_af_wkend_half_sem_2017-03-01
a8ba94f4-d3e6-452c-adf8-4d1e0984a6d1,16.0,27.0,21.0,22.0,403.0,778.0,115.0,170.0,135.0,355.0,3246.0,5914.0,594.0,606.0,5.0,5.0,5.0,5.0,10.0,10.0,115.0,133.0,876.0,1314.0,115.0,134.0,46896.0,104065.0
a9836b94-4e9e-498f-aa65-0cd76d330641,15.0,21.0,33.0,35.0,497.0,865.0,145.0,135.0,200.0,280.0,4417.0,6945.0,639.0,845.0,5.0,5.0,5.0,5.0,10.0,10.0,89.0,110.0,876.0,1241.0,89.0,111.0,44630.0,95661.0
ad5083ca-82c9-435b-9776-03837a5aed8c,15.0,16.0,26.0,22.0,441.0,340.0,75.0,100.0,180.0,165.0,4042.0,3574.0,577.0,634.0,5.0,5.0,5.0,5.0,10.0,10.0,103.0,170.0,876.0,1314.0,103.0,170.0,46072.0,58483.0
ad6f1e0f-32ef-4b74-9c04-876609ba1e55,9.0,11.0,32.0,39.0,183.0,345.0,30.0,35.0,145.0,150.0,1260.0,1142.0,654.0,573.0,5.0,5.0,5.0,5.0,10.0,10.0,34.0,15.0,292.0,146.0,35.0,14.0,6426.0,5265.0
afeb5dcc-28b1-4088-9942-3e24bc05508d,16.0,18.0,22.0,31.0,435.0,476.0,90.0,130.0,150.0,235.0,4010.0,5575.0,637.0,884.0,5.0,5.0,5.0,5.0,10.0,10.0,112.0,133.0,876.0,1314.0,113.0,133.0,49212.0,63761.0
b1ea5753-4aac-464c-996b-52c418e5782c,14.0,15.0,23.0,22.0,347.0,409.0,80.0,120.0,175.0,405.0,3158.0,7512.0,776.0,795.0,5.0,5.0,5.0,5.0,10.0,10.0,116.0,171.0,876.0,1314.0,116.0,172.0,40872.0,70812.0
b24dc8d4-e952-4d4a-bbd8-0841ea7d87ee,19.0,19.0,33.0,33.0,488.0,642.0,240.0,110.0,255.0,330.0,4588.0,3205.0,618.0,616.0,5.0,5.0,5.0,5.0,10.0,10.0,83.0,34.0,876.0,365.0,83.0,35.0,40973.0,21940.0
b36df7c0-cf05-42de-9ed6-704c2f02e3da,20.0,18.0,27.0,19.0,629.0,532.0,125.0,60.0,365.0,85.0,4530.0,2107.0,624.0,609.0,5.0,5.0,5.0,5.0,10.0,10.0,69.0,38.0,657.0,292.0,70.0,39.0,43676.0,20449.0
b771f307-fb8e-49e2-a533-2b4145073203,20.0,19.0,17.0,28.0,455.0,399.0,150.0,165.0,160.0,575.0,5339.0,4694.0,567.0,628.0,5.0,5.0,5.0,5.0,10.0,10.0,115.0,129.0,876.0,1241.0,115.0,129.0,52903.0,52107.0
b8484a00-842a-4aa3-a008-07dc9580bb3a,15.0,17.0,29.0,23.0,492.0,614.0,115.0,100.0,220.0,175.0,7717.0,6247.0,891.0,677.0,5.0,5.0,5.0,5.0,10.0,10.0,98.0,163.0,876.0,1314.0,98.0,163.0,48626.0,100745.0
