device_id,f_steps_avg_length_active_bout_minutes_ev_half_sem_2017-01-18,f_steps_avg_length_active_bout_minutes_ev_half_sem_2017-03-01,f_steps_avg_length_sedentary_bout_minutes_ev_half_sem_2017-01-18,f_steps_avg_length_sedentary_bout_minutes_ev_half_sem_2017-03-01,f_steps_avg_step_active_bout_ev_half_sem_2017-01-18,f_steps_avg_step_active_bout_ev_half_sem_2017-03-01,f_steps_max_length_active_bout_minutes_ev_half_sem_2017-01-18,f_steps_max_length_active_bout_minutes_ev_half_sem_2017-03-01,f_steps_max_length_sedentary_bout_minutes_ev_half_sem_2017-01-18,f_steps_max_length_sedentary_bout_minutes_ev_half_sem_2017-03-01,f_steps_max_step_active_bout_ev_half_sem_2017-01-18,f_steps_max_step_active_bout_ev_half_sem_2017-03-01,f_steps_max_steps_ev_half_sem_2017-01-18,f_steps_max_steps_ev_half_sem_2017-03-01,f_steps_min_length_active_bout_minutes_ev_half_sem_2017-01-18,f_steps_min_length_active_bout_minutes_ev_half_sem_2017-03-01,f_steps_min_length_sedentary_bout_minutes_ev_half_sem_2017-01-18,f_steps_min_length_sedentary_bout_minutes_ev_half_sem_2017-03-01,f_steps_min_step_active_bout_ev_half_sem_2017-01-18,f_steps_min_step_active_bout_ev_half_sem_2017-03-01,f_steps_num_active_bout_ev_half_sem_2017-01-18,f_steps_num_active_bout_ev_half_sem_2017-03-01,f_steps_num_samples_steps_ev_half_sem_2017-01-18,f_steps_num_samples_steps_ev_half_sem_2017-03-01,f_steps_num_sedentary_bout_ev_half_sem_2017-01-18,f_steps_num_sedentary_bout_ev_half_sem_2017-03-01,f_steps_sum_steps_ev_half_sem_2017-01-18,f_steps_sum_steps_ev_half_sem_2017-03-01
db4bc043-4f67-418c-bd8a-e15543032389,63,63.0,80,87.0,1517,1662.0,1240,1280.0,1315,2640.0,95082,114470.0,626,651.0,5,5.0,5,5.0,10,10.0,421,478.0,12096,14400.0,422,479.0,656169,799835.0
dba4459b-ef47-43cc-b721-364c0406f355,57,61.0,102,94.0,1306,1346.0,1150,1265.0,1290,1375.0,67559,66694.0,644,615.0,5,5.0,5,5.0,10,10.0,379,581.0,12096,18144.0,380,582.0,501216,790179.0
dec05b58-d6d4-4478-b730-3fd040c4e52d,62,57.0,68,124.0,991,1358.0,1155,1150.0,2555,2530.0,40425,39528.0,646,644.0,5,5.0,5,5.0,10,10.0,443,150.0,11520,5472.0,442,150.0,447024,205813.0
dfa65587-95f0-4384-9d81-64a15e78bf16,96,107.0,72,73.0,3302,3545.0,1345,1330.0,2880,1605.0,130817,114520.0,646,686.0,5,5.0,5,5.0,10,10.0,350,404.0,11808,14688.0,349,403.0,1161171,1436686.0
e1f9e6dd-d065-4590-b3da-8074a91dce27,39,53.0,102,104.0,622,1111.0,1170,1225.0,2655,1300.0,29489,112612.0,604,631.0,5,5.0,5,5.0,10,10.0,427,575.0,12096,18144.0,427,576.0,271999,652198.0
e261bc00-2e1f-4c98-8511-deedb1d77739,61,43.0,109,125.0,1080,786.0,1190,1160.0,1195,1275.0,101101,43244.0,632,672.0,5,5.0,5,5.0,10,10.0,354,536.0,12096,18144.0,355,537.0,385015,428571.0
e288098a-788a-4d3b-8fa2-0cf863eebf75,71,56.0,143,175.0,2847,1513.0,1195,1135.0,1255,2735.0,98614,102623.0,792,617.0,5,5.0,5,5.0,10,10.0,282,336.0,12096,15552.0,282,336.0,806452,515864.0
e322dd4d-798b-4536-af6f-fe3404a15fce,58,50.0,112,118.0,1130,1240.0,1200,1195.0,1255,1405.0,43760,123657.0,669,782.0,5,5.0,5,5.0,10,10.0,352,534.0,12096,18144.0,353,535.0,403843,675757.0
e5847047-48e7-4aec-9ab2-e03a432ad442,62,68.0,94,81.0,1500,1327.0,1305,1275.0,2825,2860.0,96203,69872.0,647,663.0,5,5.0,5,5.0,10,10.0,385,586.0,12096,17568.0,386,586.0,585562,784663.0
e6ad33da-3083-4dad-85a6-b06dd345975b,27,53.0,131,113.0,556,1206.0,1120,1135.0,2580,3230.0,43535,89856.0,630,585.0,5,5.0,5,5.0,10,10.0,362,456.0,11520,15264.0,362,457.0,208442,555895.0
